chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_12	707913	863387	2	1,7	1	0	0	0	0	0	1	0
jlSCF_12	863387	905907	1	7	0	0	0	0	0	0	1	0
jlSCF_12	905907	1004199	2	1,7	1	0	0	0	0	0	1	0
jlSCF_12	1004199	1242038	1	7	0	0	0	0	0	0	1	0
jlSCF_12	1242038	1260211	7	1,2,3,4,6,7,8	1	1	1	1	0	1	1	1
jlSCF_12	1260211	1278117	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_12	1278117	1537076	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_12	1537076	1627884	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	1627884	1794452	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_12	1794452	1830436	4	2,3,4,6	0	1	1	1	0	1	0	0
jlSCF_12	1830436	2291555	5	2,3,4,6,8	0	1	1	1	0	1	0	1
jlSCF_12	2291555	2295201	4	2,3,4,8	0	1	1	1	0	0	0	1
jlSCF_12	2540149	2584408	1	1	1	0	0	0	0	0	0	0
jlSCF_12	2584408	2616288	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_12	2616288	2652624	4	1,2,3,6	1	1	1	0	0	1	0	0
jlSCF_12	2652624	2662857	3	1,2,3	1	1	1	0	0	0	0	0
jlSCF_12	4095793	4120160	1	7	0	0	0	0	0	0	1	0
jlSCF_12	6829600	6895600	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_12	7292343	7338162	1	3	0	0	1	0	0	0	0	0
jlSCF_12	7338162	7380185	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_12	7380185	7394835	1	2	0	1	0	0	0	0	0	0
jlSCF_12	8881835	9024645	1	7	0	0	0	0	0	0	1	0
jlSCF_12	9024645	9069492	3	2,7,8	0	1	0	0	0	0	1	1
jlSCF_12	9069492	9124843	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	9124843	9155675	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
jlSCF_12	9155675	9175794	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	9175794	9236713	4	2,5,7,8	0	1	0	0	1	0	1	1
jlSCF_12	9236713	9246539	6	1,2,3,5,7,8	1	1	1	0	1	0	1	1
jlSCF_12	9246539	9268528	4	2,5,7,8	0	1	0	0	1	0	1	1
jlSCF_12	9268528	9273715	3	2,5,8	0	1	0	0	1	0	0	1
jlSCF_12	9273715	9283453	2	2,8	0	1	0	0	0	0	0	1
jlSCF_12	9283453	9288916	3	2,7,8	0	1	0	0	0	0	1	1
jlSCF_12	9288916	9291043	4	2,5,7,8	0	1	0	0	1	0	1	1
jlSCF_12	9291043	9332717	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	9332717	9355894	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
jlSCF_12	9355894	9388672	6	2,3,4,5,7,8	0	1	1	1	1	0	1	1
jlSCF_12	9388672	9714437	1	7	0	0	0	0	0	0	1	0
jlSCF_12	9714437	9734162	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
jlSCF_12	9734162	9907705	1	7	0	0	0	0	0	0	1	0
jlSCF_12	9907705	10016106	2	7,8	0	0	0	0	0	0	1	1
jlSCF_12	10016106	10040059	1	8	0	0	0	0	0	0	0	1
jlSCF_12	10040059	10048105	2	7,8	0	0	0	0	0	0	1	1
jlSCF_12	10048105	10090568	5	1,3,5,7,8	1	0	1	0	1	0	1	1
jlSCF_12	10090568	10091750	4	1,3,5,8	1	0	1	0	1	0	0	1
jlSCF_12	10091750	10117911	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_12	10117911	10148992	5	1,3,5,6,8	1	0	1	0	1	1	0	1
jlSCF_12	10148992	10198941	1	8	0	0	0	0	0	0	0	1
jlSCF_12	10213544	10329038	1	7	0	0	0	0	0	0	1	0
jlSCF_12	10374263	10432544	1	7	0	0	0	0	0	0	1	0
jlSCF_12	10432544	10829101	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	10829101	11059372	1	7	0	0	0	0	0	0	1	0
